BSC;Site;Nom secteur;Nbre TRX;ID;LAC;Longitude;Latitude
BZBSC3;10MAISON;10MAIS1;4;13 111;13;"15°15'59,4""E";"4°15'0,79""S"
BZBSC3;10MAISON;10MAIS2;4;13 112;13;"15°15'59,4""E";"4°15'0,79""S"
BZBSC3;10MAISON;10MAIS3;4;13 113;13;"15°15'59,4""E";"4°15'0,79""S"
BZBSC3;10MAISON;10MAIS7;4;13 117;13;"15°15'59,4""E";"4°15'0,79""S"
BZBSC3;10MAISON;10MAIS8;4;13 118;13;"15°15'59,4""E";"4°15'0,79""S"
BZBSC3;10MAISON;10MAIS9;4;13 119;13;"15°15'59,4""E";"4°15'0,79""S"
BZBSC3;18_MARS;18_MAR1;4;13 201;13;"15°17'35,9""E";"4°12'46,4""S"
BZBSC3;18_MARS;18_MAR2;4;13 202;13;"15°17'35,9""E";"4°12'46,4""S"
BZBSC3;18_MARS;18_MAR3;4;13 203;13;"15°17'35,9""E";"4°12'46,4""S"
BZBSC3;18_MARS;18_MAR7;4;13 207;13;"15°17'35,9""E";"4°12'46,4""S"
BZBSC3;18_MARS;18_MAR8;4;13 208;13;"15°17'35,9""E";"4°12'46,4""S"
BZBSC3;18_MARS;18_MAR9;4;13 209;13;"15°17'35,9""E";"4°12'46,4""S"
BZBSC3;5ASEC;5ASEC1;8;13 611;13;"15°15'41,04""E";"4°15'23,76""S"
BZBSC3;5ASEC;5ASEC2;8;13 612;13;"15°15'41,04""E";"4°15'23,76""S"
BZBSC3;5ASEC;5ASEC3;8;13 613;13;"15°15'41,04""E";"4°15'23,76""S"
BZBSC3;5ASEC;5ASEC7;4;13 617;13;"15°15'41,04""E";"4°15'23,76""S"
BZBSC3;5ASEC;5ASEC8;4;13 618;13;"15°15'41,04""E";"4°15'23,76""S"
BZBSC3;5ASEC;5ASEC9;4;13 619;13;"15°15'41,04""E";"4°15'23,76""S"
BZBSC2;ABALA;ABALA1;2;12 811;12;"15°32'53,3""E";"1°19'59,1""S"
BZBSC2;ABALA;ABALA2;2;12 812;12;"15°32'53,3""E";"1°19'59,1""S"
BZBSC2;ABALA;ABALA3;2;12 813;12;"15°32'53,3""E";"1°19'59,1""S"
BZBSC3;ABC;ABC1;4;13 641;13;"15°16'15,5""E";"4°15'37""S"
BZBSC3;ABC;ABC2;2;13 642;13;"15°16'15,5""E";"4°15'37""S"
BZBSC3;ABC;ABC3;4;13 643;13;"15°16'15,5""E";"4°15'37""S"
BZBSC3;ABC;ABC7;4;13 647;13;"15°16'15,5""E";"4°15'37""S"
BZBSC3;ABC;ABC8;4;13 648;13;"15°16'15,5""E";"4°15'37""S"
BZBSC3;ABC;ABC9;4;13 649;13;"15°16'15,5""E";"4°15'37""S"
PNBSC1;AEROPORT_PNR;AIROPT7;2;21 007;21;"11°52'47,89""E";"4°48'50,33""S"
PNBSC1;AEROPORT_PNR;AIROPT8;6;21 008;21;"11°52'47,89""E";"4°48'50,33""S"
PNBSC1;AEROPORT_PNR;AIROPT9;4;21 009;21;"11°52'47,89""E";"4°48'50,33""S"
PNBSC1;AEROPORT2_PNR;AEROP21;2;21 581;21;"11°53'2""E";"4°49'12""S"
PNBSC1;AEROPORT2_PNR;AEROP22;2;21 582;21;"11°53'2""E";"4°49'12""S"
PNBSC1;AEROPORT2_PNR;AEROP23;2;21 583;21;"11°53'2""E";"4°49'12""S"
PNBSC1;AEROPORT2_PNR;AEROP27;4;21 587;21;"11°53'2""E";"4°49'12""S"
PNBSC1;AEROPORT2_PNR;AEROP28;4;21 588;21;"11°53'2""E";"4°49'12""S"
PNBSC1;AEROPORT2_PNR;AEROP29;4;21 589;21;"11°53'2""E";"4°49'12""S"
BZBSC2;ALEMBE;ALEMBE1;2;12 821;12;"15°22'21""E";"1°10'38,7""S"
BZBSC2;ALEMBE;ALEMBE2;2;12 822;12;"15°22'21""E";"1°10'38,7""S"
BZBSC2;AMOSABO;AMSABO1;2;12 361;12;"15°50'0""E";"3°13'59,6""S"
BZBSC2;AMOSABO;AMSABO2;2;12 362;12;"15°50'0""E";"3°13'59,6""S"
BZBSC2;AMOSABO;AMSABO3;2;12 363;12;"15°50'0""E";"3°13'59,6""S"
BZBSC2;ANTANIMPO;ANTMPO1;2;12 371;12;"16°2'36,9""E";"3°10'36,2""S"
BZBSC2;ANTANIMPO;ANTMPO2;2;12 372;12;"16°2'36,9""E";"3°10'36,2""S"
BZBSC2;ANTANIMPO;ANTMPO3;4;12 373;12;"16°2'36,9""E";"3°10'36,2""S"
BZBSC2;ASSIGUI;ASIGUI1;2;12 061;12;"15°8'16,08""E";"1°15'18,11""S"
BZBSC2;ASSIGUI;ASIGUI2;2;12 062;12;"15°8'16,08""E";"1°15'18,11""S"
BZBSC2;ASSIGUI;ASIGUI3;2;12 063;12;"15°8'16,08""E";"1°15'18,11""S"
PNBSC3;AZUR;AZZUR1;2;23 301;23;"11°50'48""E";"4°48'26""S"
PNBSC3;AZUR;AZZUR2;2;23 302;23;"11°50'48""E";"4°48'26""S"
PNBSC3;AZUR;AZZUR3;2;23 303;23;"11°50'48""E";"4°48'26""S"
PNBSC3;AZUR;AZZUR7;4;23 307;23;"11°50'48""E";"4°48'26""S"
PNBSC3;AZUR;AZZUR8;4;23 308;23;"11°50'48""E";"4°48'26""S"
PNBSC3;AZUR;AZZUR9;4;23 309;23;"11°50'48""E";"4°48'26""S"
BZBSC1;BACONGO2;BACON21;4;11 041;11;"15°14'58,42""E";"4°17'33""S"
BZBSC1;BACONGO2;BACON22;4;11 042;11;"15°14'58,42""E";"4°17'33""S"
BZBSC1;BACONGO2;BACON23;4;11 043;11;"15°14'58,42""E";"4°17'33""S"
BZBSC1;BACONGO2;BACON27;8;11 047;11;"15°14'58,42""E";"4°17'33""S"
BZBSC1;BACONGO2;BACON28;4;11 048;11;"15°14'58,42""E";"4°17'33""S"
BZBSC1;BACONGO2;BACON29;8;11 049;11;"15°14'58,42""E";"4°17'33""S"
PNBSC2;BAMBAMA;BMBAMA1;2;22 691;22;"13°32'39""E";"2°32'21""S"
PNBSC2;BAMBAMA;BMBAMA2;2;22 692;22;"13°32'39""E";"2°32'21""S"
PNBSC2;BAMBAMA;BMBAMA3;2;22 693;22;"13°32'39""E";"2°32'21""S"
PNBSC2;BANDA;BANDA1;2;22 371;22;"11°58'58,92""E";"3°34'16,97""S"
PNBSC2;BANDA;BANDA2;2;22 372;22;"11°58'58,92""E";"3°34'16,97""S"
PNBSC2;BANDA;BANDA3;2;22 373;22;"11°58'58,92""E";"3°34'16,97""S"
PNBSC2;BANDZOKO;BNZOKO1;2;22 021;22;"12°46'18,6""E";"2°20'54,7""S"
PNBSC2;BANDZOKO;BNZOKO2;2;22 022;22;"12°46'18,6""E";"2°20'54,7""S"
PNBSC2;BANDZOKO;BNZOKO3;2;22 023;22;"12°46'18,6""E";"2°20'54,7""S"
PNBSC2;BANKUSU;BNKUSU1;2;22 601;22;"13°35'7""E";"2°40'27""S"
PNBSC2;BANKUSU;BNKUSU2;2;22 602;22;"13°35'7""E";"2°40'27""S"
PNBSC2;BANKUSU;BNKUSU3;2;22 603;22;"13°35'7""E";"2°40'27""S"
BZBSC1;BATIGNOLLES1;BATIGN7;4;11 607;11;"15°14'56,63""E";"4°15'55,24""S"
BZBSC1;BATIGNOLLES1;BATIGN8;4;11 608;11;"15°14'56,63""E";"4°15'55,24""S"
BZBSC1;BATIGNOLLES1;BATIGN9;4;11 609;11;"15°14'56,63""E";"4°15'55,24""S"
BZBSC3;BATIGNOLLES2;BATIG21;4;13 481;13;"15°15'28,55""E";"4°15'48,46""S"
BZBSC3;BATIGNOLLES2;BATIG22;4;13 482;13;"15°15'28,55""E";"4°15'48,46""S"
BZBSC3;BATIGNOLLES2;BATIG23;4;13 483;13;"15°15'28,55""E";"4°15'48,46""S"
BZBSC3;BATIGNOLLES2;BATIG27;4;13 487;13;"15°15'28,55""E";"4°15'48,46""S"
BZBSC3;BATIGNOLLES2;BATIG28;4;13 488;13;"15°15'28,55""E";"4°15'48,46""S"
BZBSC3;BATIGNOLLES2;BATIG29;4;13 489;13;"15°15'28,55""E";"4°15'48,46""S"
BZBSC3;BEACH;BEACH11;4;13 001;13;"15°17'40,99""E";"4°16'12,15""S"
BZBSC3;BEACH;BEACH12;4;13 002;13;"15°17'40,99""E";"4°16'12,15""S"
BZBSC3;BEACH;BEACH13;4;13 003;13;"15°17'40,99""E";"4°16'12,15""S"
BZBSC3;BEACH;BEACH17;4;13 007;13;"15°17'40,99""E";"4°16'12,15""S"
BZBSC3;BEACH;BEACH18;4;13 008;13;"15°17'40,99""E";"4°16'12,15""S"
BZBSC3;BEACH;BEACH19;4;13 009;13;"15°17'40,99""E";"4°16'12,15""S"
BZBSC1;BIFOUITI;BIFUTI7;4;11 067;11;"15°13'42,8""E";"4°17'50,8""S"
BZBSC1;BIFOUITI;BIFUTI8;4;11 068;11;"15°13'42,8""E";"4°17'50,8""S"
BZBSC1;BIFOUITI;BIFUTI9;4;11 069;11;"15°13'42,8""E";"4°17'50,8""S"
PNBSC2;BILALA;BILALA1;2;22 011;22;"12°11'59,5""E";"4°31'12,15""S"
PNBSC2;BILALA;BILALA2;2;22 012;22;"12°11'59,5""E";"4°31'12,15""S"
PNBSC2;BILALA;BILALA3;4;22 013;22;"12°11'59,5""E";"4°31'12,15""S"
PNBSC1;BISSONGO;BISNGO1;4;21 311;21;"11°54'31,6""E";"4°47'3,6""S"
PNBSC1;BISSONGO;BISNGO2;4;21 312;21;"11°54'31,6""E";"4°47'3,6""S"
PNBSC1;BISSONGO;BISNGO3;4;21 313;21;"11°54'31,6""E";"4°47'3,6""S"
PNBSC1;BISSONGO;BISNGO7;4;21 317;21;"11°54'31,6""E";"4°47'3,6""S"
PNBSC1;BISSONGO;BISNGO8;4;21 318;21;"11°54'31,6""E";"4°47'3,6""S"
PNBSC1;BISSONGO;BISNGO9;4;21 319;21;"11°54'31,6""E";"4°47'3,6""S"
BZBSC2;BOEMBA;BOEMBA1;4;12 381;12;"16°4'28""E";"2°12'8,8""S"
BZBSC2;BOEMBA;BOEMBA2;4;12 382;12;"16°4'28""E";"2°12'8,8""S"
BZBSC2;BOEMBA;BOEMBA3;2;12 383;12;"16°4'28""E";"2°12'8,8""S"
BZBSC2;BOKO;BOKKO1;2;15 101;15;"14°37'50,3""E";"4°47'11,6""S"
BZBSC2;BOKO;BOKKO2;2;15 102;15;"14°37'50,3""E";"4°47'11,6""S"
BZBSC2;BOKO;BOKKO3;2;15 103;15;"14°37'50,3""E";"4°47'11,6""S"
BZBSC2;BOKO_SONGO;BKSONG1;2;15 801;15;"13°37'10,1""E";"4°26'59,4""S"
BZBSC2;BOKO_SONGO;BKSONG2;2;15 802;15;"13°37'10,1""E";"4°26'59,4""S"
BZBSC2;BOKO_SONGO;BKSONG3;4;15 803;15;"13°37'10,1""E";"4°26'59,4""S"
BZBSC2;BOKOUELE;BOKULE1;2;12 391;12;"16°18'45,8""E";"1°1'33,6""S"
BZBSC2;BOKOUELE;BOKULE2;2;12 392;12;"16°18'45,8""E";"1°1'33,6""S"
BZBSC2;BOKOUELE;BOKULE3;2;12 393;12;"16°18'45,8""E";"1°1'33,6""S"
HWBSC01;BOTALA;BOTALA1;2;14 151;14;"17°36'47,52""E";"1°25'15,82""N"
HWBSC01;BOTALA;BOTALA2;2;14 152;14;"17°36'47,52""E";"1°25'15,82""N"
HWBSC01;BOTALA;BOTALA3;2;14 153;14;"17°36'47,52""E";"1°25'15,82""N"
BZBSC2;BOUANSA;BUANSA1;4;15 111;15;"13°45'34,6""E";"4°13'19,3""S"
BZBSC2;BOUANSA;BUANSA2;4;15 112;15;"13°45'34,6""E";"4°13'19,3""S"
BZBSC2;BOUANSA;BUANSA3;4;15 113;15;"13°45'34,6""E";"4°13'19,3""S"
BZBSC3;BOUETA_MBONGO;BUETA7;8;13 277;13;"15°16'29,98""E";"4°14'31,01""S"
BZBSC3;BOUETA_MBONGO;BUETA8;6;13 278;13;"15°16'29,98""E";"4°14'31,01""S"
BZBSC3;BOUETA_MBONGO;BUETA9;6;13 279;13;"15°16'29,98""E";"4°14'31,01""S"
BZBSC2;BOUNDJI;BUNDJI1;4;12 931;12;"15°16'49,3""E";"1°3'44,8""S"
BZBSC2;BOUNDJI;BUNDJI2;6;12 932;12;"15°16'49,3""E";"1°3'44,8""S"
